,Date,Country,Sectors,Title,Impact Category,Attack Type,Actor,Certainty,ActorNation
33,17-03-23,Norway,Other service,Campaign: DDoS attack against the website of a Norwegian rifle association,Disruption,DDoS,NoName057(16),Possible,Russian Federation
34,17-03-23,Norway,Transportation,Campaign: DDoS attack against the website of a Norwegian state-owned gas transportation company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
35,17-03-23,Norway,Professional / scientific,Campaign: DDoS attack against the website of a Norwegian statistics bureau,Disruption,DDoS,NoName057(16),Possible,Russian Federation
36,17-03-23,Norway,Administrative / Support,Campaign: DDoS attack against the website of a Norwegian trade association,Disruption,DDoS,NoName057(16),Possible,Russian Federation
37,17-03-23,Poland,Public administration,Campaign: DDoS attacks against three Polish government tax websites,Disruption,DDoS,NoName057(16),Possible,Russian Federation
38,17-03-23,Russian Federation,Nonprofit,DDoS attack against the website of a Russian nonprofit,Disruption,DDoS,Anonymous Italia,Possible,Italy
39,17-03-23,Netherlands,Nonprofit,DDoS attack against the website of a UN court,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
40,16-03-23,Slovakia,Transportation,DDoS attack against the website of a Slovak railway company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
41,16-03-23,Slovakia,Public administration,DDoS attack against the website of a Slovak ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
42,16-03-23,Spain,Public administration,Campaign: DDoS attacks against the website of a Spanish government agency and the Spanish presidential website,Disruption,DDoS,NoName057(16),Possible,Russian Federation
43,16-03-23,Spain,Transportation,Campaign: DDoS attack against the website of a Spanish state-owned railway operator,Disruption,DDoS,NoName057(16),Possible,Russian Federation
44,16-03-23,Spain,Professional / scientific,Campaign: DDoS attack against the website of a Spanish research institute,Disruption,DDoS,NoName057(16),Possible,Russian Federation
45,16-03-23,Spain,Manufacturing,Campaign: DDoS attacks against the website and subdomain of a Spanish state-owned shipbuilding company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
46,16-03-23,Hong Kong,Agriculture,DDoS attack against the website of a subsidiary of a Russian agricultural company,Disruption,DDoS,Anonymous Italia,Possible,Italy
47,16-03-23,Poland,Transportation,Campaign: DDoS attacks against the websites of two Polish airports and one Polish regional commuter railway,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
48,15-03-23,Poland,Manufacturing,Campaign: DDoS attacks against the websites of three Polish weapons manufacturers,Disruption,DDoS,NoName057(16),Possible,Russian Federation
49,15-03-23,Netherlands,Transportation,DDoS attacks against the website and subdomain of a Dutch public transport operator.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
50,15-03-23,Netherlands,Public administration,DDoS attack against the website of a Dutch ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
51,15-03-23,Russian Federation,Agriculture,DDoS attack against the website of a Russian agricultural company,Disruption,DDoS,Anonymous Italia,Possible,Italy
52,15-03-23,Romania,Transportation,DDoS attacks against the websites of two Romanian airports,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
53,14-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank,Disruption,DDoS,IT Army of Ukraine,Possible,Ukraine
54,14-03-23,Russian Federation,Arts,DDoS attack against the website of a Russian sports memorabilia collection,Disruption,DDoS,Anonymous Italia,Possible,Italy
55,14-03-23,Russian Federation,Manufacturing,DDoS attack against the website of a Russian shipbuilding company,Disruption,DDoS,Anonymous Italia,Possible,Italy
56,14-03-23,Poland,Transportation,DDoS attacks against the website and subdomain of a Polish metro,Disruption,DDoS,NoName057(16),Possible,Russian Federation
57,14-03-23,Poland,Financial,DDoS attack against the website of a Polish digital procurement company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
58,14-03-23,Latvia,Public administration,DDoS attack against the website of a Latvian municipality,Disruption,DDoS,NoName057(16),Possible,Russian Federation
59,14-03-23,Norway,Manufacturing,DDoS attack against the subdomain of a Norwegian high tech systems manufacturer,Disruption,DDoS,NoName057(16),Possible,Russian Federation
60,14-03-23,Italy,Public administration,DDoS attacks against the website of an Italian ministry and the subdomain of another Italian ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
61,14-03-23,Russian Federation,Financial,Campaign: DDoS attack against a Russian bank,Disruption,DDoS,,Confirmed,No Nationality Found
62,13-03-23,Russian Federation,Financial,DDoS attack against the website and mobile application of a Russian bank,Disruption,DDoS,IT Army of Ukraine,Confirmed,Ukraine
63,13-03-23,Russian Federation,Education,DDoS attack against the website of a Russian sports university,Disruption,DDoS,Anonymous Italia,Possible,Italy
64,13-03-23,Norway,Manufacturing,Campaign: DDoS attacks against three subdomains of a Norwegian high tech systems manufacturer,Disruption,DDoS,NoName057(16),Possible,Russian Federation
65,13-03-23,Norway,Public administration,Campaign: DDoS attack against the website of a Norwegian statistics bureau,Disruption,DDoS,NoName057(16),Possible,Russian Federation
66,13-03-23,Norway,Administrative / Support,Campaign: DDoS attack against the website of a Norwegian trade association,Disruption,DDoS,NoName057(16),Possible,Russian Federation
67,12-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank,Disruption,DDoS,IT Army of Ukraine,Confirmed,Ukraine
68,11-03-23,United Kingdom,Public administration,DDoS attacks against the subdomains of two regional British councils,Disruption,DDoS,NoName057(16),Possible,Russian Federation
69,10-03-23,Moldova,Public administration,DDoS attacks against the websites of two Moldovan ministries,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
70,10-03-23,France,Financial,DDoS attack against a French banking information website,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
71,10-03-23,Italy,Financial,DDoS attacks against two subdomains of an Italian bank,Disruption,DDoS,NoName057(16),Possible,Russian Federation
72,10-03-23,Estonia,Financial,"Campaign: DDoS attacks against the websites of two Estonian banks, one Estonian insurance company and an Estonian e-procurement system",Disruption,DDoS,NoName057(16),Possible,Russian Federation
73,10-03-23,Estonia,Transportation,Campaign: DDoS attack against the website of a state-owned Estonian railway company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
74,10-03-23,Estonia,Energy,Campaign: DDoS attacks against the website and subdomain of an Estonian energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
75,09-03-23,Denmark,Public administration,DDoS attack against the website of a Danish ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
76,08-03-23,United Kingdom,Manufacturing,DDoS attack against the website of a British nuclear fuel company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
77,08-03-23,Lithuania,Financial,DDoS attack against the website of a Lithuanian bank,Disruption,DDoS,NoName057(16),Possible,Russian Federation
78,08-03-23,Lithuania,Transportation,DDoS attack against the website of a Lithuanian cargo transportation and warehousing company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
79,08-03-23,Poland,Manufacturing,Campaign: DDoS attacks against the websites of a Polish weapons manufacturer and a Polish electronics manufacturer,Disruption,DDoS,NoName057(16),Possible,Russian Federation
80,08-03-23,Poland,Arts,Campaign: DDoS attack against the website of a Polish national archive,Disruption,DDoS,NoName057(16),Possible,Russian Federation
81,08-03-23,Poland,Public administration,Campaign: DDoS attacks against the website of a Polish government office and a Polish government tax website,Disruption,DDoS,NoName057(16),Possible,Russian Federation
82,08-03-23,Poland,Transportation,Campaign: DDoS attack against the website of a Polish gas transportation company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
83,08-03-23,Latvia,Public administration,DDoS attack against the website of a Latvian ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
84,08-03-23,Latvia,Administrative / Support,DDoS attack against the website of an independent Latvian public regulator,Disruption,DDoS,NoName057(16),Possible,Russian Federation
85,08-03-23,Romania,Financial,Campaign: DDoS attack against the website of a Romanian bank,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
86,08-03-23,Romania,Transportation,Campaign: DDoS attacks against two websites of a Romanian airport,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
87,07-03-23,Latvia,Transportation,DDoS attack against the website of a state-owned Latvian postal company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
88,07-03-23,Poland,Energy,Campaign: DDoS attack against the website of a Polish oil and gas company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
89,07-03-23,Poland,Public administration,Campaign: DDoS attacks against a Polish government online platform and the website and subdomain of a Polish government committee,Disruption,DDoS,NoName057(16),Possible,Russian Federation
90,07-03-23,Germany,Manufacturing,Campaign: DDoS attacks against two subdomains of a German weapons manufacturer,Disruption,DDoS,NoName057(16),Possible,Russian Federation
91,07-03-23,Germany,Public administration,Campaign: DDoS attacks against the website and subdomain of the German federal government,Disruption,DDoS,NoName057(16),Possible,Russian Federation
92,07-03-23,Romania,Manufacturing,DDoS attack against the website of a Romanian electrical equipment manufacturer,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
93,06-03-23,Russian Federation,Accommodation,DDoS attack against the website of a Russian ski resort,Disruption,DDoS,Anonymous Italia,Possible,Italy
94,06-03-23,Germany,Manufacturing,Campaign: DDoS attacks against the website and the IT infrastructure of a German weapons manufacturer,Disruption,DDoS,KillNet Collective,Probable,Russian Federation
95,06-03-23,Lithuania,Transportation,Campaign: DDoS attacks against the website of a Lithuanian cargo transportation company and the website and subdomain of a Lithuanian transportation and warehousing company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
96,06-03-23,United States,Public administration,Campaign: cyber-enabled information operation conducted against US government officials,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,Russian Federation
97,06-03-23,United Kingdom,Public administration,Campaign: cyber-enabled information operation conducted against UK government officials,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,Russian Federation
98,06-03-23,Austria,Public administration,Campaign: cyber-enabled information operation conducted against an Austrian government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,Russian Federation
99,06-03-23,Poland,Public administration,Campaign: cyber-enabled information operation conducted against a Polish government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,Russian Federation
100,06-03-23,Hungary,Public administration,Campaign: cyber-enabled information operation conducted against a Hungarian government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,Russian Federation
101,06-03-23,Georgia,Public administration,Campaign: cyber-enabled information operation conducted against a German government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,Russian Federation
102,06-03-23,Spain,Public administration,Campaign: cyber-enabled information operation conducted against a Spanish government official,Disinformation,Cyber-Enabled Information Operation,TA499,Possible,Russian Federation
103,06-03-23,Poland,ICT,DDoS attack against the website of a Polish radio station,Disruption,DDoS,Cyber Cat,Possible,United States
104,06-03-23,Romania,Transportation,Campaign: DDoS attacks against the websites of three Romanian airports,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
105,05-03-23,Italy,Public administration,Campaign: DDoS attacks against the websites of two Italian ministries and the website and subdomain of an Italian judicial council,Disruption,DDoS,NoName057(16),Possible,Russian Federation
106,05-03-23,Italy,ICT,Campaign: DDoS attack against the website of an Italian ICT company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
107,05-03-23,Cyprus,Financial,DDoS attack against the website of a Cypriot consumer lending company,Disruption,DDoS,Anonymous Italia,Possible,Italy
108,05-03-23,Poland,Administrative / Support,DDoS attack against a Polish business directory website,Disruption,DDoS,Cyber Cat,Possible,United States
109,04-03-23,Lithuania,Transportation,"Campaign: DDoS attacks against the websites of Lithuanian entities (three airports, one airport state enterprise, one stevedoring company, one shipping company and the website and subdomain of a transport logistics company)",Disruption,DDoS,NoName057(16),Possible,Russian Federation
110,04-03-23,Canada,ICT,DDoS attack against the website of a Canadian web design and development company,Disruption,DDoS,Cyber Cat,Possible,United States
111,04-03-23,Romania,Public administration,"Campaign: DDoS attacks against the official website of the Romanian government, the websites of a Romanian court, the Romanian Senate, and the Romanian Chamber of Deputies.",Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
112,04-03-23,Romania,Professional / scientific,Campaign: DDoS attack against the website of a national Romanian commission,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
113,03-03-23,Germany,Manufacturing,DDoS attack against the website of a German weapons manufacturer,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
114,03-03-23,Russian Federation,Administrative / Support,DDoS attack against the website of a Russian online booking agency,Disruption,DDoS,IT Army of Ukraine,Confirmed,Ukraine
115,03-03-23,Lithuania,Transportation,Campaign: DDoS attacks against the websites of three Lithuanian freight forwarding companies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
116,03-03-23,Poland,Manufacturing,Campaign: DDoS attacks against the websites of two Polish weapons manufacturers.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
117,03-03-23,Poland,Public administration,Campaign: DDoS attacks against the websites of two Polish regional courts and one Polish office for consumer protection,Disruption,DDoS,NoName057(16),Possible,Russian Federation
118,03-03-23,Latvia,Media,DDoS attacks against the websites of two Latvian news medias,Disruption,DDoS,Netside Group,Possible,Russian Federation
119,03-03-23,Romania,Public administration,DDoS attacks against the official Romanian government website and the Romanian presidential website.,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
120,02-03-23,Russian Federation,Financial,Campaign: DDoS attacks against the websites of four Russian companies providing equating services,Disruption,DDoS,IT Army of Ukraine,Possible,Ukraine
121,02-03-23,Slovakia,Energy,Campaign: DDoS attacks against the subdomain of a Slovak energy services company and the subdomain of its parent electric power company.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
122,02-03-23,Slovakia,Public administration,Campaign: DDoS attack against the website of a Slovak ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
123,02-03-23,Slovakia,Transportation,Campaign: DDoS attacks against the website of a Slovak railway company and the website and subdomain of another Slovak railway company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
124,02-03-23,Czech Republic,Financial,DDoS attack against the website portal of a Czech bank,Disruption,DDoS,NoName057(16),Possible,Russian Federation
125,02-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank subsidiary specializing in insurance,Disruption,DDoS,Anonymous Italia,Possible,Italy
126,02-03-23,Russian Federation,Education,Defacement operation against the website of a Russian education center,Disinformation,Defacement,Anonymous Italia,Confirmed,Italy
127,01-03-23,Czech Republic,Public administration,DDoS attack against the website and subdomain of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
128,01-03-23,Norway,Public administration,Campaign: DDoS attacks against the websites of three Norwegian government agencies,Disruption,DDoS,NoName057(16),Possible,Russian Federation
129,01-03-23,Norway,Transportation,Campaign: DDoS attack against the website of a Norwegian gas transportation company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
130,01-03-23,Poland,Administrative / Support,DDoS attack against the website of a Polish travel agency,Disruption,DDoS,Cyber Cat,Possible,United States
131,01-03-23,Serbia,Manufacturing,DDoS attack against the website of a Serbian state-owned weapons manufacturer,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
132,01-03-23,Serbia,Public administration,DDoS attack against the website of a Serbian ministry website,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
133,01-03-23,Slovakia,Public administration,DDoS attack against the website of a Slovak government administration,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
134,01-03-23,Slovakia,Manufacturing,DDoS attack against the website of a Slovak oil refinery,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
135,01-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank subsidiary specializing in car loans,Disruption,DDoS,Anonymous Italia,Possible,Italy
136,01-03-23,United States,Health,Campaign: DDoS attacks against the websites of three US regional healthcare providers and one US specialty medical group,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
137,28-02-23,Russian Federation,Media,DDoS attack against the website of an oppositional Russian media,Disruption,DDoS,KillNet,Confirmed,Russian Federation
138,28-02-23,Japan,Transportation,Campaign: DDoS attacks against two subdomains of a Japanese railway company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
139,28-02-23,Japan,Other service,Campaign: DDoS attack against the website of a Japanese petroleum association,Disruption,DDoS,NoName057(16),Possible,Russian Federation
140,28-02-23,Japan,Public administration,Campaign: DDoS attack against the subdomain of a Japanese ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
141,28-02-23,Poland,Public administration,DDoS attack against the website of a Polish government agency,Disruption,DDoS,NoName057(16),Possible,Russian Federation
142,28-02-23,Latvia,Transportation,Campaign: DDoS attacks against the website and two subdomains of a Latvian railroad company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
143,27-02-23,Latvia,Transportation,DDoS attacks against the website and the subdomain of a Latvian postal service.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
144,27-02-23,Estonia,Energy,DDoS attack against the subdomain of an Estonian energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
145,27-02-23,Estonia,Financial,DDoS attack against an Estonian e-procurement system,Disruption,DDoS,NoName057(16),Possible,Russian Federation
146,27-02-23,Slovakia,Energy,DDoS attack against the subdomain of a Slovakian energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
147,27-02-23,Russian Federation,Media,Cyberattack against Russian regional radio and television stations,Disinformation,Defacement,,Confirmed,No Nationality Found
148,27-02-23,Lithuania,Media,Campaign: DDoS attack against a Lithuanian medical news website.,Disruption,DDoS,Netside Group,Possible,Russian Federation
149,27-02-23,Lithuania,Public administration,Campaign: DDoS attack against a Lithuanian ministry website,Disruption,DDoS,Netside Group,Possible,Russian Federation
150,27-02-23,Lithuania,Transportation,Campaign: DDoS attack against the website of a Lithuanian airport,Disruption,DDoS,Netside Group,Possible,Russian Federation
151,27-02-23,Russian Federation,Public administration,DDoS attack against Russian customs,Disruption,DDoS,IT Army of Ukraine,Confirmed,Ukraine
152,27-02-23,Iceland,Media,Defacement operation against an article from a financial media website.,Disinformation,Defacement,People's CyberArmy,Confirmed,Russian Federation
153,26-02-23,Poland,Trade,Campaign: DDoS attacks against the websites of 11 Polish retailers,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
154,26-02-23,Czech Republic,Public administration,DDoS attack against the subdomain of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
155,26-02-23,Poland,Public administration,Campaign: DDoS attacks against three Polish government websites,Disruption,DDoS,NoName057(16),Possible,Russian Federation
156,26-02-23,Latvia,Energy,Campaign: DDoS attacks against the website and subdomain of a Latvian state-owned energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
157,26-02-23,Latvia,Public administration,Campaign: DDoS attack against the Latvian parliament website,Disruption,DDoS,NoName057(16),Possible,Russian Federation
158,26-02-23,Croatia,Public administration,DDoS attack against the Croatian parliament website,Disruption,DDoS,Netside Group,Possible,Russian Federation
159,26-02-23,Croatia,Transportation,DDoS attack against the website of a Croatian railway company,Disruption,DDoS,Netside Group,Possible,Russian Federation
160,26-02-23,United States,Manufacturing,Campaign: DDoS attacks against the websites of two US metallurgy companies,Disruption,DDoS,Cyber Cat,Possible,United States
161,26-02-23,United States,Nonprofit,Campaign: DDoS attack against the website of a US trade association,Disruption,DDoS,Cyber Cat,Possible,United States
162,26-02-23,United States,Media,Campaign: DDoS attack against a US media website,Disruption,DDoS,Cyber Cat,Possible,United States
163,26-02-23,Poland,Energy,DDoS attack against the website of a Polish energy company,Disruption,DDoS,Russian Clay,Possible,Russian Federation
164,26-02-23,Bulgaria,Manufacturing,DDoS attack against the website of a Bulgarian state-owned weapons manufacturer,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
165,25-02-23,Spain,Public administration,Campaign: DDoS attacks against two Spanish government websites,Disruption,DDoS,NoName057(16),Possible,Russian Federation
166,25-02-23,Spain,Professional / scientific,Campaign: DDoS attack against the website of a Spanish research institute.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
167,25-02-23,Spain,Manufacturing,Campaign: DDoS attacks against the website and subdomain of a Spanish state-owned vessel manufacturer,Disruption,DDoS,NoName057(16),Possible,Russian Federation
168,25-02-23,Croatia,Real estate,Campaign: DDoS attack against the website of a Croatian real estate agency,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
169,25-02-23,Croatia,Financial,Campaign: DDoS attack against the website of a Croatian bank,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
170,25-02-23,Croatia,Public administration,Campaign: DDoS attack against the website of a Croatian judicial court,Disruption,DDoS,National Hackers of Russia (HXP),Possible,Russian Federation
171,25-02-23,Poland,Professional / scientific,Campaign: DDoS attacks against the websites of two Polish research institutes,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
172,25-02-23,Poland,Public administration,Campaign: DDoS attacks against the websites of 11 Polish government institutions,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
173,25-02-23,Poland,Construction,DDoS attack against the website of a Polish electrical installation company,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
174,24-02-23,Poland,Transportation,Campaign: DDoS attacks against the websites of two Polish airports,Disruption,DDoS,NoName057(16),Possible,Russian Federation
175,24-02-23,Poland,Public administration,Campaign: DDoS attacks against five Polish government websites,Disruption,DDoS,NoName057(16),Possible,Russian Federation
176,24-02-23,Poland,Public administration,Campaign: DDoS attacks against three Polish government websites,Disruption,DDoS,Anonymous Sudan,Possible,Sudan
177,24-02-23,Poland,Public administration,Campaign: DDoS attacks against eight Polish government websites,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
178,24-02-23,Poland,Arts,Campaign: DDoS attack against the website of a Polish national archive.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
179,24-02-23,Poland,Health,Campaign: DDoS attack against the website of a Polish health fund,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
180,24-02-23,Poland,Professional / scientific,Campaign: DDoS attacks against the websites of a Polish nuclear research centre and a Polish veterinary inspection agency.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
181,24-02-23,Romania,Manufacturing,DDoS attack against the website of a Romanian machine manufacturer,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
182,24-02-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank subsidiary specializing in mortgages,Disruption,DDoS,Anonymous Italia,Possible,Italy
183,24-02-23,Canada,Financial,DDoS attack against the website of a Canadian bank,Disruption,DDoS,Russian Hackers Community,Possible,Russian Federation
184,23-02-23,Austria,Public administration,DDoS attack against an Austrian ministry website,Disruption,DDoS,NoName057(16),Possible,Russian Federation
185,23-02-23,Germany,Nonprofit,DDoS attack against the website and subdomain of a German political party foundation,Disruption,DDoS,NoName057(16),Possible,Russian Federation
186,23-02-23,Denmark,Public administration,DDoS attack against the website of a Danish ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
187,23-02-23,Sweden,ICT,Campaign: DDoS attack against the website and subdomain of a Swedish telecommunications agency,Disruption,DDoS,NoName057(16),Possible,Russian Federation
188,23-02-23,Sweden,Public administration,Campaign: DDoS attack against a Swedish government website,Disruption,DDoS,NoName057(16),Possible,Russian Federation
189,23-02-23,Latvia,Public administration,DDoS attack against the Latvian parliament website,Disruption,DDoS,NoName057(16),Possible,Russian Federation
