,Date,Country,Sectors,Title,Impact Category,Attack Type,Actor,Certainty,Unnamed: 8
7,06-03-23,Romania,Transportation,Campaign: DDoS attacks against the websites of three Romanian airports,Disruption,DDoS,Russian Hackers Community,Possible,
8,05-03-23,Italy,Public administration,Campaign: DDoS attacks against the websites of two Italian ministries and the website and subdomain of an Italian judicial council,Disruption,DDoS,NoName057(16),Possible,
9,05-03-23,Italy,ICT,Campaign: DDoS attack against the website of an Italian ICT company,Disruption,DDoS,NoName057(16),Possible,
0,05-03-23,Cyprus,Financial,DDoS attack against the website of a Cypriot consumer lending company,Disruption,DDoS,Anonymous Italia,Possible,
1,05-03-23,Poland,Administrative / Support,DDoS attack against a Polish business directory website,Disruption,DDoS,Cyber Cat,Possible,
2,04-03-23,Lithuania,Transportation,"Campaign: DDoS attacks against the websites of Lithuanian entities (three airports, one airport state enterprise, one stevedoring company, one shipping company and the website and subdomain of a transport logistics company)",Disruption,DDoS,NoName057(16),Possible,
3,04-03-23,Canada,ICT,DDoS attack against the website of a Canadian web design and development company,Disruption,DDoS,Cyber Cat,Possible,
4,04-03-23,Romania,Public administration,"Campaign: DDoS attacks against the official website of the Romanian government, the websites of a Romanian court, the Romanian Senate, and the Romanian Chamber of Deputies.",Disruption,DDoS,Russian Hackers Community,Possible,
5,04-03-23,Romania,Professional / scientific,Campaign: DDoS attack against the website of a national Romanian commission,Disruption,DDoS,Russian Hackers Community,Possible,
6,03-03-23,Germany,Manufacturing,DDoS attack against the website of a German weapons manufacturer,Disruption,DDoS,People's CyberArmy,Possible,
7,03-03-23,Russian Federation,Administrative / Support,DDoS attack against the website of a Russian online booking agency,Disruption,DDoS,IT Army of Ukraine,Confirmed,
8,03-03-23,Lithuania,Transportation,Campaign: DDoS attacks against the websites of three Lithuanian freight forwarding companies,Disruption,DDoS,NoName057(16),Possible,
9,03-03-23,Poland,Manufacturing,Campaign: DDoS attacks against the websites of two Polish weapons manufacturers.,Disruption,DDoS,NoName057(16),Possible,
0,03-03-23,Poland,Public administration,Campaign: DDoS attacks against the websites of two Polish regional courts and one Polish office for consumer protection,Disruption,DDoS,NoName057(16),Possible,
1,03-03-23,Latvia,Media,DDoS attacks against the websites of two Latvian news medias,Disruption,DDoS,Netside Group,Possible,
2,03-03-23,Romania,Public administration,DDoS attacks against the official Romanian government website and the Romanian presidential website.,Disruption,DDoS,Russian Hackers Community,Possible,
3,02-03-23,Russian Federation,Financial,Campaign: DDoS attacks against the websites of four Russian companies providing equating services,Disruption,DDoS,IT Army of Ukraine,Possible,
4,02-03-23,Slovakia,Energy,Campaign: DDoS attacks against the subdomain of a Slovak energy services company and the subdomain of its parent electric power company.,Disruption,DDoS,NoName057(16),Possible,
5,02-03-23,Slovakia,Public administration,Campaign: DDoS attack against the website of a Slovak ministry,Disruption,DDoS,NoName057(16),Possible,
6,02-03-23,Slovakia,Transportation,Campaign: DDoS attacks against the website of a Slovak railway company and the website and subdomain of another Slovak railway company,Disruption,DDoS,NoName057(16),Possible,
7,02-03-23,Czech Republic,Financial,DDoS attack against the website portal of a Czech bank,Disruption,DDoS,NoName057(16),Possible,
8,02-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank subsidiary specializing in insurance,Disruption,DDoS,Anonymous Italia,Possible,
9,02-03-23,Russian Federation,Education,Defacement operation against the website of a Russian education center,Disinformation,Defacement,Anonymous Italia,Confirmed,
0,01-03-23,Czech Republic,Public administration,DDoS attack against the website and subdomain of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,
1,01-03-23,Norway,Public administration,Campaign: DDoS attacks against the websites of three Norwegian government agencies,Disruption,DDoS,NoName057(16),Possible,
2,01-03-23,Norway,Transportation,Campaign: DDoS attack against the website of a Norwegian gas transportation company,Disruption,DDoS,NoName057(16),Possible,
3,01-03-23,Poland,Administrative / Support,DDoS attack against the website of a Polish travel agency,Disruption,DDoS,Cyber Cat,Possible,
4,01-03-23,Serbia,Manufacturing,DDoS attack against the website of a Serbian state-owned weapons manufacturer,Disruption,DDoS,People's CyberArmy,Possible,
5,01-03-23,Serbia,Public administration,DDoS attack against the website of a Serbian ministry website,Disruption,DDoS,People's CyberArmy,Possible,
6,01-03-23,Slovakia,Public administration,DDoS attack against the website of a Slovak government administration,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
7,01-03-23,Slovakia,Manufacturing,DDoS attack against the website of a Slovak oil refinery,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
8,01-03-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank subsidiary specializing in car loans,Disruption,DDoS,Anonymous Italia,Possible,
9,01-03-23,United States,Health,Campaign: DDoS attacks against the websites of three US regional healthcare providers and one US specialty medical group,Disruption,DDoS,Russian Hackers Community,Possible,
0,28-02-23,Russian Federation,Media,DDoS attack against the website of an oppositional Russian media,Disruption,DDoS,KillNet,Confirmed,
1,28-02-23,Japan,Transportation,Campaign: DDoS attacks against two subdomains of a Japanese railway company,Disruption,DDoS,NoName057(16),Possible,
2,28-02-23,Japan,Other service,Campaign: DDoS attack against the website of a Japanese petroleum association,Disruption,DDoS,NoName057(16),Possible,
3,28-02-23,Japan,Public administration,Campaign: DDoS attack against the subdomain of a Japanese ministry,Disruption,DDoS,NoName057(16),Possible,
4,28-02-23,Poland,Public administration,DDoS attack against the website of a Polish government agency,Disruption,DDoS,NoName057(16),Possible,
5,28-02-23,Latvia,Transportation,Campaign: DDoS attacks against the website and two subdomains of a Latvian railroad company,Disruption,DDoS,NoName057(16),Possible,
6,27-02-23,Latvia,Transportation,DDoS attacks against the website and the subdomain of a Latvian postal service.,Disruption,DDoS,NoName057(16),Possible,
7,27-02-23,Estonia,Energy,DDoS attack against the subdomain of an Estonian energy company,Disruption,DDoS,NoName057(16),Possible,
8,27-02-23,Estonia,Financial,DDoS attack against an Estonian e-procurement system,Disruption,DDoS,NoName057(16),Possible,
9,27-02-23,Slovakia,Energy,DDoS attack against the subdomain of a Slovakian energy company,Disruption,DDoS,NoName057(16),Possible,
0,27-02-23,Russian Federation,Media,Cyberattack against Russian regional radio and television stations,Disinformation,Defacement,,Confirmed,
1,27-02-23,Lithuania,Media,Campaign: DDoS attack against a Lithuanian medical news website.,Disruption,DDoS,Netside Group,Possible,
2,27-02-23,Lithuania,Public administration,Campaign: DDoS attack against a Lithuanian ministry website,Disruption,DDoS,Netside Group,Possible,
3,27-02-23,Lithuania,Transportation,Campaign: DDoS attack against the website of a Lithuanian airport,Disruption,DDoS,Netside Group,Possible,
4,27-02-23,Russian Federation,Public administration,DDoS attack against Russian customs,Disruption,DDoS,IT Army of Ukraine,Confirmed,
5,27-02-23,Iceland,Media,Defacement operation against an article from a financial media website.,Disinformation,Defacement,People's CyberArmy,Confirmed,
6,26-02-23,Poland,Trade,Campaign: DDoS attacks against the websites of 11 Polish retailers,Disruption,DDoS,Anonymous Russia,Possible,
7,26-02-23,Czech Republic,Public administration,DDoS attack against the subdomain of a Czech ministry,Disruption,DDoS,NoName057(16),Possible,
8,26-02-23,Poland,Public administration,Campaign: DDoS attacks against three Polish government websites,Disruption,DDoS,NoName057(16),Possible,
9,26-02-23,Latvia,Energy,Campaign: DDoS attacks against the website and subdomain of a Latvian state-owned energy company,Disruption,DDoS,NoName057(16),Possible,
0,26-02-23,Latvia,Public administration,Campaign: DDoS attack against the Latvian parliament website,Disruption,DDoS,NoName057(16),Possible,
1,26-02-23,Croatia,Public administration,DDoS attack against the Croatian parliament website,Disruption,DDoS,Netside Group,Possible,
2,26-02-23,Croatia,Transportation,DDoS attack against the website of a Croatian railway company,Disruption,DDoS,Netside Group,Possible,
3,26-02-23,United States,Manufacturing,Campaign: DDoS attacks against the websites of two US metallurgy companies,Disruption,DDoS,Cyber Cat,Possible,
4,26-02-23,United States,Nonprofit,Campaign: DDoS attack against the website of a US trade association,Disruption,DDoS,Cyber Cat,Possible,
5,26-02-23,United States,Media,Campaign: DDoS attack against a US media website,Disruption,DDoS,Cyber Cat,Possible,
6,26-02-23,Poland,Energy,DDoS attack against the website of a Polish energy company,Disruption,DDoS,Russian Clay,Possible,
7,26-02-23,Bulgaria,Manufacturing,DDoS attack against the website of a Bulgarian state-owned weapons manufacturer,Disruption,DDoS,People's CyberArmy,Possible,
8,25-02-23,Spain,Public administration,Campaign: DDoS attacks against two Spanish government websites,Disruption,DDoS,NoName057(16),Possible,
9,25-02-23,Spain,Professional / scientific,Campaign: DDoS attack against the website of a Spanish research institute.,Disruption,DDoS,NoName057(16),Possible,
0,25-02-23,Spain,Manufacturing,Campaign: DDoS attacks against the website and subdomain of a Spanish state-owned vessel manufacturer,Disruption,DDoS,NoName057(16),Possible,
1,25-02-23,Croatia,Real estate,Campaign: DDoS attack against the website of a Croatian real estate agency,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
2,25-02-23,Croatia,Financial,Campaign: DDoS attack against the website of a Croatian bank,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
3,25-02-23,Croatia,Public administration,Campaign: DDoS attack against the website of a Croatian judicial court,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
4,25-02-23,Poland,Professional / scientific,Campaign: DDoS attacks against the websites of two Polish research institutes,Disruption,DDoS,Anonymous Russia,Possible,
5,25-02-23,Poland,Public administration,Campaign: DDoS attacks against the websites of 11 Polish government institutions,Disruption,DDoS,Anonymous Russia,Possible,
6,25-02-23,Poland,Construction,DDoS attack against the website of a Polish electrical installation company,Disruption,DDoS,People's CyberArmy,Possible,
7,24-02-23,Poland,Transportation,Campaign: DDoS attacks against the websites of two Polish airports,Disruption,DDoS,NoName057(16),Possible,
8,24-02-23,Poland,Public administration,Campaign: DDoS attacks against five Polish government websites,Disruption,DDoS,NoName057(16),Possible,
9,24-02-23,Poland,Public administration,Campaign: DDoS attacks against three Polish government websites,Disruption,DDoS,Anonymous Sudan,Possible,
0,24-02-23,Poland,Public administration,Campaign: DDoS attacks against eight Polish government websites,Disruption,DDoS,Anonymous Russia,Possible,
1,24-02-23,Poland,Arts,Campaign: DDoS attack against the website of a Polish national archive.,Disruption,DDoS,Anonymous Russia,Possible,
2,24-02-23,Poland,Health,Campaign: DDoS attack against the website of a Polish health fund,Disruption,DDoS,Anonymous Russia,Possible,
3,24-02-23,Poland,Professional / scientific,Campaign: DDoS attacks against the websites of a Polish nuclear research centre and a Polish veterinary inspection agency.,Disruption,DDoS,Anonymous Russia,Possible,
4,24-02-23,Romania,Manufacturing,DDoS attack against the website of a Romanian machine manufacturer,Disruption,DDoS,People's CyberArmy,Possible,
5,24-02-23,Russian Federation,Financial,DDoS attack against the website of a Russian bank subsidiary specializing in mortgages,Disruption,DDoS,Anonymous Italia,Possible,
6,24-02-23,Canada,Financial,DDoS attack against the website of a Canadian bank,Disruption,DDoS,Russian Hackers Community,Possible,
7,23-02-23,Austria,Public administration,DDoS attack against an Austrian ministry website,Disruption,DDoS,NoName057(16),Possible,
8,23-02-23,Germany,Nonprofit,DDoS attack against the website and subdomain of a German political party foundation,Disruption,DDoS,NoName057(16),Possible,
9,23-02-23,Denmark,Public administration,DDoS attack against the website of a Danish ministry,Disruption,DDoS,NoName057(16),Possible,
0,23-02-23,Sweden,ICT,Campaign: DDoS attack against the website and subdomain of a Swedish telecommunications agency,Disruption,DDoS,NoName057(16),Possible,
1,23-02-23,Sweden,Public administration,Campaign: DDoS attack against a Swedish government website,Disruption,DDoS,NoName057(16),Possible,
2,23-02-23,Latvia,Public administration,DDoS attack against the Latvian parliament website,Disruption,DDoS,NoName057(16),Possible,
3,23-02-23,Poland,Public administration,Campaign: DDoS attacks against five Polish government websites,Disruption,DDoS,Anonymous Russia,Possible,
4,23-02-23,Poland,Administrative / Support,Campaign: DDoS attack against the official website of Poland,Disruption,DDoS,Anonymous Russia,Possible,
5,23-02-23,Russian Federation,Unknown,Campaign: Defacement operation against 32 Russian websites,Disinformation,Defacement,CH01,Possible,
6,22-02-23,Russian Federation,Transportation,DDoS attack against the website of the transport branch of a Russian nickel mining company,Disruption,DDoS,Anonymous Italia,Possible,
7,21-02-23,Russian Federation,Media,Cyberattack against Russian radio stations,Disinformation,Defacement,,Confirmed,
8,21-02-23,Italy,Financial,Campaign: DDoS attacks against the website and subdomain of an Italian bank,Disruption,DDoS,NoName057(16),Possible,
9,21-02-23,Italy,Public administration,Campaign: DDoS attacks against the website and subdomain of an Italian ministry and the website of another Italian ministry,Disruption,DDoS,NoName057(16),Possible,
0,21-02-23,Italy,Energy,Campaign: DDoS attack against the website of an Italian energy company,Disruption,DDoS,NoName057(16),Possible,
1,21-02-23,Portugal,Public administration,DDoS attack against the website of a Portuguese ministry,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
2,21-02-23,Sweden,Public administration,DDoS attack against the website of a Swedish tax agency,Disruption,DDoS,Russian Clay,Possible,
3,21-02-23,Denmark,Public administration,DDoS attack against a Danish city website,Disruption,DDoS,Cyber Cat,Possible,
4,21-02-23,Russian Federation,Transportation,DDoS attack against the website of a Russian gas transportation company,Disruption,DDoS,Anonymous Italia,Possible,
5,21-02-23,Sweden,Public administration,DDoS attack against the website of a Swedish tax agency,Disruption,DDoS,Russian Hackers Community,Possible,
6,20-02-23,France,Public administration,Campaign: DDoS attacks against two French government websites,Disruption,DDoS,NoName057(16),Possible,
7,20-02-23,France,Professional / scientific,Campaign: DDoS attacks against the website and subdomain of a French research institute,Disruption,DDoS,NoName057(16),Possible,
8,20-02-23,France,Manufacturing,Campaign: DDoS attack against the website of a French naval industrial group,Disruption,DDoS,NoName057(16),Possible,
9,20-02-23,Russian Federation,Media,DDoS attacks against the website of a Russian television channel and a Russian online streaming platform,Disruption,DDoS,IT Army of Ukraine,Possible,
0,20-02-23,Ukraine,Unknown,Campaign: Phishing campaign reported by CERT-UA,Data,Cyberespionage / Malware,UAC-0050,Confirmed,
1,20-02-23,Sweden,Financial,DDoS attack against the website of a Swedish bank,Disruption,DDoS,Mirai,Possible,
2,19-02-23,Germany,Transportation,Campaign: DDoS attack against the website of a German airport,Disruption,DDoS,NoName057(16),Possible,
3,19-02-23,Germany,Manufacturing,"Campaign: DDoS attacks against the website and two subdomains of a German weapons manufacturer, the website of another German weapon manufacturer and the website of a German mechanical and plant engineering company.",Disruption,DDoS,NoName057(16),Possible,
4,19-02-23,Poland,Transportation,Campaign: DDoS attacks against the websites of seven Polish airports,Disruption,DDoS,NoName057(16),Possible,
5,19-02-23,Ukraine,Financial,DDoS attack against the website of a Ukrainian bank,Disruption,DDoS,Mirai,Possible,
6,19-02-23,Germany,Public administration,Campaign: DDoS attack against the website of a German ministry,Disruption,DDoS,NoName057(16),Possible,
7,19-02-23,Poland,Professional / scientific,DDoS attack against the website of a Polish academic agency.,Disruption,DDoS,Mirai,Possible,
8,19-02-23,Russian Federation,Mining,DDoS attack against the website of a Russian gold mining company,Disruption,DDoS,Anonymous Italia,Possible,
9,18-02-23,Estonia,Transportation,DDoS attack against the website of an Estonian airport,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
0,18-02-23,Estonia,Financial,DDoS attack against the portal of the website of an Estonian insurance company,Disruption,DDoS,NoName057(16),Possible,
1,18-02-23,Estonia,Public administration,DDoS attack against an Estonian government website,Disruption,DDoS,NoName057(16),Possible,
2,18-02-23,Sweden,Public administration,Campaign: DDoS attacks against the website and subdomain of two Swedish government agencies and the website of another Swedish government agency.,Disruption,DDoS,NoName057(16),Possible,
3,18-02-23,Poland,Manufacturing,DDoS attack against the website of a Polish automotive industry association,Disruption,DDoS,Mirai,Possible,
4,18-02-23,Germany,Nonprofit,DDoS attack against the website of a German nonprofit.,Disruption,DDoS,Cyber Cat,Possible,
5,18-02-23,Russian Federation,ICT,DDoS attack against the website of a Russian computer systems support company,Disruption,DDoS,Anonymous Italia,Possible,
6,17-02-23,Estonia,Financial,Campaign: DDoS attacks against the websites of two Estonian banks and one Estonian credit union.,Disruption,DDoS,NoName057(16),Possible,
7,17-02-23,Estonia,Real estate,Campaign: DDoS attacks against the website of a Baltic Real Estate fund management and the website for one of its funds.,Disruption,DDoS,NoName057(16),Possible,
8,17-02-23,Estonia,Transportation,Campaign: DDoS attack against the website of an Estonian railway company,Disruption,DDoS,NoName057(16),Possible,
9,17-02-23,Japan,Transportation,DDoS attack against the subdomain of a Japanese rail transportation company.,Disruption,DDoS,NoName057(16),Possible,
0,17-02-23,Estonia,Transportation,DDoS attack against the website and subdomain of an Estonian airline,Disruption,DDoS,Furious Russian Hackers,Possible,
1,17-02-23,Russian Federation,Professional / scientific,DDoS attack against the website of a Russian metallurgy research institute,Disruption,DDoS,Anonymous Italia,Possible,
2,16-02-23,Poland,Public administration,DDoS attack against a Polish government website,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
3,16-02-23,Poland,Public administration,Campaign: DDoS attack against the website of a Polish regional administrative court,Disruption,DDoS,NoName057(16),Possible,
4,16-02-23,Moldova,Public administration,DDoS attack against the Moldovan government website.,Disruption,DDoS,Phoenix,Possible,
5,16-02-23,Poland,Energy,Campaign: DDoS attacks against the website and subdomain of a Polish energy company and the website of another Polish energy company.,Disruption,DDoS,NoName057(16),Possible,
6,16-02-23,Spain,Public administration,DDoS attack against a Spanish ministry website,Disruption,DDoS,Phoenix,Possible,
7,16-02-23,Spain,Professional / scientific,Defacement operation against the website of a Spanish air quality control organization,Disinformation,Defacement,Phoenix,Confirmed,
8,16-02-23,Germany,Manufacturing,Defacement operation against the website of a German precision grinding company,Disinformation,Defacement,Phoenix,Confirmed,
9,16-02-23,Japan,Arts,DDoS attack against the website of a Japanese video game company,Disruption,DDoS,NoName057(16),Possible,
0,16-02-23,Romania,Arts,Defacement operation against a Romanian digital studio website,Disinformation,Defacement,Phoenix,Confirmed,
1,16-02-23,Russian Federation,Mining,DDoS attack against the website of a Russian nickel and palladium mining and smelting company,Disruption,DDoS,Anonymous Italia,Possible,
2,15-02-23,Lithuania,Transportation,Campaign: DDoS attack against the website of a Lithuanian airport,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
3,15-02-23,Lithuania,Public administration,Campaign: DDoS attacks against two Lithuanian government websites,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
4,15-02-23,Lithuania,Media,Campaign: DDoS attack against a Lithuanian medical news website.,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
5,15-02-23,Slovakia,Public administration,DDoS attacks against the websites of two Slovakian ministries,Disruption,DDoS,NoName057(16),Possible,
6,15-02-23,Russian Federation,Energy,DDoS attack against the subdomain of a Russian gas company.,Disruption,DDoS,IT Army of Ukraine,Possible,
7,15-02-23,Russian Federation,Transportation,Campaign: DDoS attacks against the website and four subdomains of the Moscow metro.,Disruption,DDoS,StudentCyberArmy,Possible,
8,15-02-23,Australia,Manufacturing,Defacement operation against an Australian printing company,Disinformation,Defacement,Phoenix,Confirmed,
9,15-02-23,Germany,Transportation,Campaign: DDoS attacks against the websites of six German airports,Disruption,DDoS,Anonymous Russia,Possible,
0,15-02-23,Australia,Arts,Defacement operation against an Australian event planning company,Disinformation,Defacement,Phoenix,Confirmed,
1,15-02-23,Japan,Transportation,DDoS attacks against three subdomains of a Japanese rail transportation company,Disruption,DDoS,NoName057(16),Possible,
2,15-02-23,Lithuania,Administrative / Support,DDoS attack against a Lithuanian government platform,Disruption,DDoS,NoName057(16),Possible,
3,15-02-23,United Kingdom,Water,Defacement operation against the website of a British water treatment company.,Disinformation,Defacement,Phoenix,Confirmed,
4,15-02-23,Germany,Health,Defacement operation against a German cosmestics website,Disinformation,Defacement,Phoenix,Confirmed,
5,15-02-23,Lithuania,Transportation,DDoS attack against the website of a Lithuanian shipping terminal,Disruption,DDoS,NoName057(16),Possible,
6,15-02-23,Russian Federation,Manufacturing,DDoS attack against the website of a Russian repair and construction company.,Disruption,DDoS,Anonymous Italia,Possible,
7,14-02-23,Canada,ICT,DDoS attack against the Canadian domain of a multinational technology company.,Disruption,DDoS,Mirai,Possible,
8,14-02-23,Japan,Energy,Campaign: DDoS attack against the website of a Japanese energy company,Disruption,DDoS,NoName057(16),Possible,
9,14-02-23,Russian Federation,Financial,Cyberattack against a Russian payment application,Unknown,Unknown,IT Army of Ukraine,Possible,
0,14-02-23,Russian Federation,ICT,Cyberattack against a Russian Internet service provider,Unknown,Unknown,IT Army of Ukraine,Possible,
1,14-02-23,Poland,Public administration,DDoS attack against a Polish court website.,Disruption,DDoS,Netside Group,Possible,
2,14-02-23,Estonia,Public administration,DDoS attack against the website of an Estonian government agency,Disruption,DDoS,Netside Group,Possible,
3,14-02-23,United Kingdom,Nonprofit,Defacement operation against the website of a British nonprofit,Disinformation,Defacement,Phoenix,Confirmed,
4,14-02-23,Spain,Public administration,DDoS attack against the website of a Spanish ministry,Disruption,DDoS,Phoenix,Possible,
5,14-02-23,Belgium,Public administration,DDoS attacks against two EU websites.,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
6,14-02-23,Switzerland,Administrative / Support,DDoS attack against UN website,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
7,14-02-23,Ukraine,Financial,DDoS attack against the website of a Ukrainian bank,Disruption,DDoS,Mirai,Possible,
8,14-02-23,Ukraine,Public administration,DDoS attack against Ukrainian police website,Disruption,DDoS,Netside Group,Possible,
9,14-02-23,Japan,Manufacturing,Campaign: DDoS attacks against the website of a Japanese manufacturing company and against four subdomains of another Japanese manufacturing company.,Disruption,DDoS,NoName057(16),Possible,
0,14-02-23,Ukraine,Energy,DDoS attack against the website of a Ukrainian energy company,Disruption,DDoS,Phoenix,Possible,
1,14-02-23,Ukraine,Nonprofit,Campaign: DDoS attacks against the websites of six Ukrainian humanitarian funds.,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
2,14-02-23,Ukraine,Public administration,Campaign: DDoS attack against Ukrainian police website,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
3,14-02-23,Estonia,Administrative / Support,DDoS attack against an Estonian government website and subdomain,Disruption,DDoS,NoName057(16),Possible,
4,14-02-23,Poland,Public administration,DDoS attacks against the websites of a Polish administrative court and a Polish district court,Disruption,DDoS,NoName057(16),Possible,
5,14-02-23,Germany,Health,DDoS attack against the website of a German hotline for violence against women,Disruption,DDoS,Mirai,Possible,
6,14-02-23,Ukraine,ICT,Defacement operation against the website of Ukrainian online information technology seller,Disinformation,Defacement,Phoenix,Confirmed,
7,14-02-23,Russian Federation,Accommodation,DDoS attack against the website of a Russian hotel and motel company,Disruption,DDoS,Anonymous Italia,Possible,
8,13-02-23,Ukraine,Financial,DDoS attack against the website of a Ukrainian bank,Disruption,DDoS,National Hackers of Russia (HXP),Possible,
